Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-12-31,,,82.19200,47.39400,-129.58600,16.43200,-113.15400,,-113.82400,-113.82400,-113.82400,-139.53800,-129.58600,36.95900,36.95900,-3.02000,-3.02000,19.30620,,,,,,,,,-9.07520,-9.07520,-8.51840,-9.07520,32.93860,-3.1489,-3.1716
2023-09-30,,,103.95200,32.26600,-136.21800,17.09900,-119.11900,,-119.11900,-119.11900,-119.11900,-146.67100,-136.21800,37.68900,37.68900,-3.16000,-3.16000,27.88350,,,,,,,,,-9.00840,-9.00840,-8.60000,-9.00840,35.05700,-2.8994,-2.916
2023-06-30,,,92.49000,27.41700,-119.90700,16.74400,-103.16300,,-103.16300,-103.16300,-103.16300,-128.78900,-119.90700,37.52500,37.52500,-2.75000,-2.75000,37.61230,,,,,,,,,-7.26720,-7.26720,-7.00790,-7.26720,37.71020,-1.4992,-1.5183
2023-03-31,0.65400,0.65400,85.46700,24.25300,-109.06600,11.49200,-97.57400,,-97.57400,-97.57400,-97.57400,-116.04400,-109.06600,34.80100,34.80100,-2.80000,-2.80000,59.74400,100.00000,-16676.76000,-16676.76000,-14919.57000,-14919.57000,0.00040,,,-6.55680,-6.55680,-6.43560,-6.55680,39.79180,-2.89160,-2.91210
2022-12-31,5.27800,5.27800,66.00400,24.31000,-85.03600,9.71400,-75.32200,0.89000,-76.21200,-76.21200,-76.21200,-89.41100,-85.03600,31.62900,31.62900,-2.24000,-2.24000,34.01780,100.00000,-1611.14000,-1611.14100,-1427.09400,-1443.95600,0.00450,92.59650,0.97200,-6.76700,-6.76700,-6.55120,-6.76700,32.66920,-2.5951,-2.6047
2022-09-30,0.08100,0.08100,61.95000,19.12500,-80.99400,4.03100,-76.96300,,-76.96300,-76.96300,-76.96300,-81.49400,-80.99400,32.34900,32.34900,-2.38000,-2.38000,29.93440,100.00000,-99992.59000,-99992.59000,-95016.05000,-95016.05000,0.00010,1.00000,90.00000,-6.50050,-6.50050,-6.26520,-6.50050,34.47140,-1.6266,-1.6308
2022-06-30,5.27800,5.27800,52.48700,17.84300,-65.05200,0.63700,-64.41500,0.52800,-64.94300,-64.94300,-64.94300,-64.60500,-65.05200,29.89600,29.89600,-2.17000,-2.17000,17.77200,100.00000,-1232.51200,-1232.51200,-1220.44300,-1230.44700,0.01220,1.11120,80.99660,-16.01910,-16.01910,-14.97920,-16.01910,13.54390,-1.3162,-1.3313
2022-03-31,,,43.80600,14.78800,-58.59400,0.37600,-58.21800,,-58.21800,-58.21800,-58.21800,-58.06100,-58.59400,29.80600,29.80600,-1.95000,-1.95000,29.18040,,,,,,,,,-12.83220,-12.83220,-12.27000,-12.83220,15.20860,-1.67090,-1.67090
2021-12-31,,,45.09200,20.06300,-65.15500,0.23700,-27.95400,,-27.96000,-27.96000,-27.96000,-64.59100,-28.19100,29.13900,29.13900,-0.95000,-0.95000,25.59410,,,,,,,,,-5.56940,-5.56940,-5.29880,-5.56940,16.86290,-0.2874,-0.3149
2021-09-30,,,38.77500,12.39300,-51.16800,0.23600,-50.93200,,-50.93200,-50.93200,-50.93200,-50.75000,-51.16800,29.57200,29.57200,-1.72000,-1.72000,33.55360,,,,,,,,,-9.82620,-9.82620,-9.43010,-9.82620,17.50750,-1.4763,-1.5275
2021-06-30,,,24.14700,10.38400,-34.53100,0.11500,-34.41600,,-34.41600,-34.41600,-34.41600,-34.27700,-34.53100,29.48300,29.48300,-1.17000,-1.17000,55.01000,,,,,,,,,-6.14200,-6.14200,-5.96270,-6.14200,18.96620,-0.9361,-0.9611
2021-03-31,,,20.18600,9.77700,-29.96300,-0.53400,-30.49700,,-30.49700,-30.49700,-30.49700,-29.63000,-29.96300,27.78700,27.78700,-1.10000,-1.10000,89.01900,,,,,,,,,-5.21390,-5.21390,-5.14050,-5.21390,19.86730,-0.76220,-0.76390
2020-12-31,,,15.58400,8.82300,-24.40700,0.44100,-23.96600,,-24.00900,-24.00900,-24.00900,-23.98300,-24.40700,26.44600,26.44600,-0.90000,-0.90000,50.28440,,,,,,,,,-7.08370,-7.08370,-6.90660,-7.08370,12.55860,-0.8822,-0.8853
2020-09-30,,,12.58500,6.94400,-19.52900,0.68800,-18.84100,,-18.84100,-18.84100,-18.84100,-19.30300,-19.52900,26.66400,26.66400,-0.71000,-0.71000,70.56460,,,,,,,,,-5.27380,-5.27380,-5.16990,-5.27380,13.33650,-0.8378,-0.8416
2020-06-30,,,10.81900,7.00600,-17.82500,0.77900,-17.04600,,-17.04600,-17.04600,-17.04600,-17.82500,-17.82500,26.18600,26.18600,-0.65000,-0.65000,92.12490,,,,,,,,,-4.58470,-4.58470,-4.51170,-4.58470,13.98760,-0.6012,-0.6072
2020-03-31,,,4.42000,5.63500,-10.05500,1.39700,-8.65800,,-8.65800,-8.65800,-8.65800,-10.05500,-10.05500,26.04200,26.04200,-0.33000,-0.33000,145.80240,,,,,,,,,-2.24920,-2.24920,-2.22160,-2.24920,14.75150,-0.32030,-0.32320
2019-12-31,,,4.99200,3.87400,-8.86600,1.09200,-7.77400,,-7.77400,-7.77400,-7.77400,-9.66900,-8.86600,11.95800,11.95800,4626.73000,4626.73000,132.76070,,,,,,,,,-1.99380,-1.99380,-1.97800,-1.99380,14.98930,-1.5338,-1.5401
2019-09-30,,,5.79300,4.10300,-9.89600,0.85800,-9.03800,,-9.03800,-9.03800,-9.03800,-9.88100,-9.89600,22.90700,22.90700,-0.39000,-0.39000,106.93280,,,,,,,,,-5.56080,-5.56080,-5.50340,-5.56080,6.94190,150.244,150.9159
2019-06-30,,,6.78400,8.28600,-15.07000,-0.07000,-15.14000,,-15.14000,-15.14000,-15.14000,-14.53600,-15.07000,0.10370,0.10370,-146.02000,-146.02000,34.74640,,,,,,,,,32.22030,32.22030,-19.07830,32.22030,-286.30530,2132.6038,2138.2786
2019-03-31,,,6.96700,4.60600,-11.57300,-0.43200,-12.00500,,-12.00500,-12.00500,-12.00500,-11.14000,-11.57300,0.00270,0.00270,-4484.00000,-4484.00000,,,,,,,,,,,,,,,-2283.90000,-2290.25000
2018-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
2018-09-30,,,1.41700,1.05600,-2.47300,-3.76500,-6.23800,,-6.23800,-6.23800,-6.23800,-1.14900,-2.47300,0.00000,0.00000,-1247600.00000,-1247600.00000,,,,,,,,,,,,,,,0,0
2018-06-30,,,2.17500,0.25600,-2.43100,1.89200,-0.53900,,-0.53900,-0.53900,-0.53900,-2.43100,-2.43100,,,,0.00000,,,,,,,,,,,,,,,0,0
